Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played,Year,Winrate
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Icebox,Team Heretics,"['gekko', 'jett', 'kayo', 'killjoy', 'viper']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Lotus,Team Heretics,"['breach', 'cypher', 'fade', 'omen', 'raze']",4,2,6,2024,0.6666666666666666
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Split,Team Heretics,"['cypher', 'omen', 'raze', 'skye', 'viper']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Sunset,Team Heretics,"['omen', 'cypher', 'sova', 'kayo', 'neon']",3,1,4,2024,0.75
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Ascent,Team Liquid,"['cypher', 'omen', 'sova', 'viper', 'yoru']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Bind,Team Liquid,"['viper', 'raze', 'kayo', 'gekko', 'harbor']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Icebox,Team Liquid,"['chamber', 'harbor', 'reyna', 'sova', 'viper']",3,1,4,2024,0.75
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Lotus,Team Liquid,"['omen', 'raze', 'cypher', 'sova', 'breach']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Split,Team Liquid,"['viper', 'omen', 'raze', 'cypher', 'skye']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Sunset,Team Liquid,"['omen', 'cypher', 'sova', 'gekko', 'yoru']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Ascent,Team Vitality,"['omen', 'sova', 'kayo', 'killjoy', 'jett']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Bind,Team Vitality,"['viper', 'raze', 'gekko', 'brimstone', 'deadlock']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Breeze,Team Vitality,"['viper', 'cypher', 'sova', 'yoru', 'astra']",3,0,3,2024,1.0
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Icebox,Team Vitality,"['viper', 'raze', 'kayo', 'gekko', 'killjoy']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Lotus,Team Vitality,"['fade', 'killjoy', 'neon', 'omen', 'viper']",0,2,2,2024,0.0
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Split,Team Vitality,"['viper', 'raze', 'killjoy', 'skye', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 1,All Stages,All Match Types,Sunset,Team Vitality,"['viper', 'omen', 'raze', 'kayo', 'gekko']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,BBL Esports,"['omen', 'cypher', 'sova', 'kayo', 'jett']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,BBL Esports,"['raze', 'viper', 'gekko', 'fade', 'brimstone']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,BBL Esports,"['breach', 'cypher', 'fade', 'neon', 'omen']",1,3,4,2024,0.25
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,BBL Esports,"['cypher', 'gekko', 'kayo', 'omen', 'raze']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,FNATIC,"['cypher', 'iso', 'jett', 'omen', 'sova']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,FNATIC,"['clove', 'gekko', 'raze', 'skye', 'viper']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,FNATIC,"['omen', 'cypher', 'sova', 'yoru', 'iso']",5,0,5,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,FNATIC,"['gekko', 'iso', 'killjoy', 'sova', 'viper']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,FNATIC,"['omen', 'raze', 'viper', 'fade', 'killjoy']",6,0,6,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,FNATIC,"['cypher', 'sova', 'raze', 'breach', 'astra']",3,0,3,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Abyss,FUT Esports,"['omen', 'cypher', 'gekko', 'jett', 'deadlock']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,FUT Esports,"['omen', 'sova', 'kayo', 'jett', 'killjoy']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,FUT Esports,"['omen', 'sova', 'jett', 'killjoy', 'sage']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,FUT Esports,"['omen', 'cypher', 'breach', 'viper', 'jett']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Split,FUT Esports,"['omen', 'cypher', 'raze', 'breach', 'gekko']",3,1,4,2024,0.75
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,FUT Esports,"['omen', 'cypher', 'raze', 'breach', 'gekko']",2,3,5,2024,0.4
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,GIANTX,"['omen', 'cypher', 'sova', 'kayo', 'jett']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,GIANTX,"['omen', 'raze', 'viper', 'yoru', 'skye']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Breeze,GIANTX,"['cypher', 'sova', 'viper', 'jett', 'yoru']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,GIANTX,"['omen', 'sova', 'breach', 'neon', 'killjoy']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,GIANTX,"['sova', 'viper', 'jett', 'killjoy', 'sage']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,GIANTX,"['omen', 'fade', 'neon', 'killjoy', 'skye']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Split,GIANTX,"['breach', 'cypher', 'jett', 'omen', 'raze']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,GIANTX,"['omen', 'cypher', 'raze', 'breach', 'gekko']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,Gentle Mates,"['omen', 'cypher', 'sova', 'kayo', 'jett']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Breeze,Gentle Mates,"['cypher', 'sova', 'viper', 'kayo', 'yoru']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,Gentle Mates,"['omen', 'viper', 'gekko', 'kayo', 'killjoy']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,Gentle Mates,"['omen', 'cypher', 'viper', 'fade', 'neon']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Split,Gentle Mates,"['omen', 'cypher', 'raze', 'breach', 'yoru']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,Gentle Mates,"['cypher', 'kayo', 'neon', 'omen', 'sova']",1,4,5,2024,0.2
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,KOI,"['raze', 'viper', 'gekko', 'kayo', 'brimstone']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,KOI,"['omen', 'cypher', 'sova', 'breach', 'jett']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,KOI,"['viper', 'gekko', 'kayo', 'jett', 'killjoy']",3,0,3,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,KOI,"['omen', 'cypher', 'fade', 'neon', 'yoru']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Split,KOI,"['breach', 'fade', 'omen', 'raze', 'viper']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,KOI,"['cypher', 'kayo', 'omen', 'raze', 'sova']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,Karmine Corp,"['omen', 'sova', 'fade', 'yoru', 'harbor']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,Karmine Corp,"['viper', 'gekko', 'killjoy', 'yoru', 'harbor']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,Karmine Corp,"['gekko', 'jett', 'killjoy', 'sova', 'viper']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,Karmine Corp,"['omen', 'cypher', 'sova', 'fade', 'yoru']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,Karmine Corp,"['breach', 'cypher', 'jett', 'omen', 'raze']",1,3,4,2024,0.25
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,Natus Vincere,"['cypher', 'jett', 'kayo', 'omen', 'sova']",0,4,4,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,Natus Vincere,"['raze', 'viper', 'gekko', 'fade', 'brimstone']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,Natus Vincere,"['omen', 'cypher', 'sova', 'neon', 'yoru']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,Natus Vincere,"['cypher', 'sova', 'viper', 'gekko', 'jett']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,Natus Vincere,"['breach', 'brimstone', 'cypher', 'gekko', 'jett']",0,2,2,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Split,Natus Vincere,"['breach', 'fade', 'omen', 'raze', 'yoru']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,Natus Vincere,"['cypher', 'kayo', 'neon', 'omen', 'sova']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Abyss,Team Heretics,"['cypher', 'raze', 'breach', 'gekko', 'astra']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,Team Heretics,"['raze', 'viper', 'gekko', 'fade', 'brimstone']",3,1,4,2024,0.75
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,Team Heretics,"['breach', 'cypher', 'iso', 'neon', 'omen']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,Team Heretics,"['gekko', 'killjoy', 'neon', 'sova', 'viper']",2,2,4,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,Team Heretics,"['omen', 'cypher', 'breach', 'fade', 'neon']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Split,Team Heretics,"['omen', 'cypher', 'breach', 'neon', 'iso']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,Team Heretics,"['omen', 'cypher', 'sova', 'kayo', 'neon']",4,2,6,2024,0.6666666666666666
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,Team Liquid,"['omen', 'cypher', 'sova', 'jett', 'iso']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,Team Liquid,"['raze', 'viper', 'fade', 'skye', 'astra']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,Team Liquid,"['omen', 'sova', 'breach', 'jett', 'killjoy']",0,1,1,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,Team Liquid,"['chamber', 'jett', 'sage', 'sova', 'viper']",0,2,2,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,Team Liquid,"['cypher', 'fade', 'omen', 'raze', 'yoru']",0,2,2,2024,0.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,Team Liquid,"['omen', 'viper', 'gekko', 'kayo', 'sage']",1,0,1,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Ascent,Team Vitality,"['omen', 'sova', 'kayo', 'jett', 'killjoy']",3,0,3,2024,1.0
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Bind,Team Vitality,"['omen', 'raze', 'viper', 'gekko', 'fade']",1,1,2,2024,0.5
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Haven,Team Vitality,"['breach', 'cypher', 'jett', 'omen', 'sova']",1,3,4,2024,0.25
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Icebox,Team Vitality,"['gekko', 'jett', 'killjoy', 'sova', 'viper']",3,2,5,2024,0.6
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Lotus,Team Vitality,"['breach', 'cypher', 'fade', 'omen', 'raze']",3,4,7,2024,0.42857142857142855
Champions Tour 2024: EMEA Stage 2,All Stages,All Match Types,Sunset,Team Vitality,"['omen', 'cypher', 'sova', 'kayo', 'neon']",4,2,6,2024,0.6666666666666666
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Bind,EDward Gaming,"['raze', 'kayo', 'sova', 'cypher', 'brimstone']",1,0,1,2024,1.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Breeze,EDward Gaming,"['viper', 'jett', 'kayo', 'sova', 'cypher']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Icebox,EDward Gaming,"['viper', 'jett', 'kayo', 'sova', 'killjoy']",1,1,2,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,EDward Gaming,"['viper', 'omen', 'raze', 'skye', 'breach']",1,1,2,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sunset,EDward Gaming,"['omen', 'raze', 'kayo', 'sova', 'cypher']",0,2,2,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Breeze,FunPlus Phoenix,"['viper', 'jett', 'sova', 'yoru', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Icebox,FunPlus Phoenix,"['viper', 'omen', 'jett', 'gekko', 'reyna']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lotus,FunPlus Phoenix,"['viper', 'omen', 'raze', 'gekko', 'chamber']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sunset,FunPlus Phoenix,"['viper', 'sova', 'harbor', 'phoenix', 'chamber']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Ascent,Gen.G,"['omen', 'jett', 'kayo', 'sova', 'killjoy']",2,0,2,2024,1.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Bind,Gen.G,"['viper', 'raze', 'skye', 'cypher', 'brimstone']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Breeze,Gen.G,"['viper', 'jett', 'sova', 'yoru', 'astra']",3,1,4,2024,0.75
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Icebox,Gen.G,"['viper', 'jett', 'kayo', 'killjoy', 'gekko']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lotus,Gen.G,"['viper', 'omen', 'raze', 'killjoy', 'fade']",1,1,2,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,Gen.G,"['viper', 'omen', 'raze', 'jett', 'skye']",3,1,4,2024,0.75
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Ascent,Karmine Corp,"['omen', 'jett', 'kayo', 'fade', 'breach']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Bind,Karmine Corp,"['viper', 'omen', 'raze', 'skye', 'yoru']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Icebox,Karmine Corp,"['viper', 'jett', 'killjoy', 'gekko', 'sage']",1,0,1,2024,1.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lotus,Karmine Corp,"['viper', 'omen', 'raze', 'killjoy', 'fade']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,Karmine Corp,"['omen', 'raze', 'fade', 'yoru', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Ascent,LOUD,"['breach', 'kayo', 'omen', 'phoenix', 'viper']",0,2,2,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Breeze,LOUD,"['viper', 'jett', 'kayo', 'sova', 'cypher']",2,0,2,2024,1.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Icebox,LOUD,"['viper', 'jett', 'sova', 'killjoy', 'harbor']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,LOUD,"['viper', 'omen', 'raze', 'skye', 'breach']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sunset,LOUD,"['viper', 'omen', 'sova', 'breach', 'phoenix']",2,2,4,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Ascent,Paper Rex,"['viper', 'omen', 'raze', 'gekko', 'fade']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Bind,Paper Rex,"['brimstone', 'harbor', 'raze', 'reyna', 'skye']",1,1,2,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lotus,Paper Rex,"['cypher', 'jett', 'omen', 'raze', 'skye']",0,4,4,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,Paper Rex,"['jett', 'omen', 'raze', 'skye', 'viper']",2,2,4,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sunset,Paper Rex,"['viper', 'omen', 'kayo', 'gekko', 'sage']",3,1,4,2024,0.75
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Ascent,Sentinels,"['omen', 'jett', 'kayo', 'sova', 'killjoy']",1,1,2,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Bind,Sentinels,"['viper', 'raze', 'skye', 'gekko', 'brimstone']",2,0,2,2024,1.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Breeze,Sentinels,"['viper', 'jett', 'kayo', 'sova', 'cypher']",0,2,2,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Icebox,Sentinels,"['viper', 'jett', 'kayo', 'killjoy', 'gekko']",1,1,2,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lotus,Sentinels,"['viper', 'omen', 'raze', 'killjoy', 'fade']",4,0,4,2024,1.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,Sentinels,"['viper', 'omen', 'raze', 'skye', 'cypher']",3,2,5,2024,0.6
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sunset,Sentinels,"['omen', 'raze', 'kayo', 'cypher', 'gekko']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Bind,Team Heretics,"['viper', 'kayo', 'sova', 'yoru', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Lotus,Team Heretics,"['viper', 'omen', 'killjoy', 'gekko', 'neon']",1,1,2,2024,0.5
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Split,Team Heretics,"['viper', 'omen', 'raze', 'cypher', 'breach']",0,1,1,2024,0.0
Champions Tour 2024: Masters Madrid,All Stages,All Match Types,Sunset,Team Heretics,"['omen', 'kayo', 'sova', 'cypher', 'neon']",1,1,2,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,100 Thieves,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,100 Thieves,"['viper', 'raze', 'gekko', 'fade', 'brimstone']",1,1,2,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Breeze,100 Thieves,"['viper', 'sova', 'jett', 'kayo', 'cypher']",1,0,1,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Icebox,100 Thieves,"['viper', 'sova', 'killjoy', 'jett', 'gekko']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Sunset,100 Thieves,"['omen', 'raze', 'cypher', 'gekko', 'fade']",0,2,2,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,Dragon Ranger Gaming,"['omen', 'sova', 'jett', 'kayo', 'cypher']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,Dragon Ranger Gaming,"['raze', 'cypher', 'skye', 'harbor', 'brimstone']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Icebox,Dragon Ranger Gaming,"['viper', 'sova', 'killjoy', 'jett', 'harbor']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Sunset,Dragon Ranger Gaming,"['omen', 'raze', 'kayo', 'cypher', 'gekko']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,EDward Gaming,"['viper', 'omen', 'raze', 'gekko', 'skye']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Split,EDward Gaming,"['viper', 'omen', 'raze', 'cypher', 'skye']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Sunset,EDward Gaming,"['astra', 'cypher', 'gekko', 'omen', 'raze']",0,2,2,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,FNATIC,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,FNATIC,"['viper', 'raze', 'gekko', 'skye', 'brimstone']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Breeze,FNATIC,"['viper', 'sova', 'kayo', 'cypher', 'yoru']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Lotus,FNATIC,"['viper', 'omen', 'raze', 'killjoy', 'fade']",1,1,2,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Split,FNATIC,"['omen', 'raze', 'cypher', 'breach', 'yoru']",1,0,1,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,FUT Esports,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",2,0,2,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,FUT Esports,"['kayo', 'omen', 'raze', 'skye', 'viper']",2,2,4,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Icebox,FUT Esports,"['viper', 'sova', 'killjoy', 'jett', 'kayo']",0,2,2,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Lotus,FUT Esports,"['viper', 'omen', 'jett', 'cypher', 'breach']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Split,FUT Esports,"['viper', 'omen', 'raze', 'skye', 'chamber']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Sunset,FUT Esports,"['omen', 'raze', 'cypher', 'gekko', 'breach']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,FunPlus Phoenix,"['viper', 'omen', 'killjoy', 'fade', 'yoru']",0,1,1,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Icebox,FunPlus Phoenix,"['omen', 'kayo', 'gekko', 'harbor', 'clove']",1,1,2,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Lotus,FunPlus Phoenix,"['viper', 'omen', 'raze', 'gekko', 'astra']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Sunset,FunPlus Phoenix,"['omen', 'cypher', 'fade', 'harbor', 'yoru']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,G2 Esports,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",1,1,2,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,G2 Esports,"['viper', 'raze', 'gekko', 'skye', 'brimstone']",2,1,3,2024,0.6666666666666666
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Breeze,G2 Esports,"['viper', 'sova', 'cypher', 'yoru', 'astra']",1,0,1,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Icebox,G2 Esports,"['gekko', 'harbor', 'killjoy', 'sova', 'viper']",0,3,3,2024,0.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Lotus,G2 Esports,"['viper', 'omen', 'raze', 'killjoy', 'fade']",3,3,6,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Split,G2 Esports,"['viper', 'omen', 'raze', 'fade', 'breach']",1,1,2,2024,0.5
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Ascent,Gen.G,"['omen', 'sova', 'killjoy', 'jett', 'kayo']",3,1,4,2024,0.75
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,Gen.G,"['viper', 'raze', 'cypher', 'skye', 'brimstone']",1,0,1,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Breeze,Gen.G,"['viper', 'sova', 'jett', 'yoru', 'astra']",3,0,3,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Icebox,Gen.G,"['viper', 'killjoy', 'jett', 'kayo', 'gekko']",1,2,3,2024,0.3333333333333333
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Lotus,Gen.G,"['viper', 'omen', 'raze', 'killjoy', 'fade']",3,2,5,2024,0.6
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Split,Gen.G,"['viper', 'omen', 'raze', 'cypher', 'skye']",1,0,1,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Sunset,Gen.G,"['omen', 'sova', 'jett', 'kayo', 'cypher']",1,0,1,2024,1.0
Champions Tour 2024: Masters Shanghai,All Stages,All Match Types,Bind,LEVIATÁN,"['viper', 'raze', 'gekko', 'skye', 'brimstone']",0,1,1,2024,0.0
