Tournament,Stage,Match Type,Map,Team,Composition,Winrate,Total Maps Played
Champions Tour 2024: China Stage 1,Playoffs,Upper Semifinals,Split,EDward Gaming,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,EDward Gaming,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,FunPlus Phoenix,"fade,killjoy,omen,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,JDG Esports,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Nova Esports,"breach,jett,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Trace Esports,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Ascent,Wolves Esports,"cypher,jett,kayo,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Bilibili Gaming,"brimstone,cypher,gekko,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,EDward Gaming,"brimstone,cypher,kayo,raze,skye",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,JDG Esports,"brimstone,gekko,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,TYLOO,"brimstone,cypher,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Titan Esports Club,"brimstone,cypher,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Bind,Wolves Esports,"fade,omen,raze,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,All Gamers,"cypher,harbor,sova,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,Dragon Ranger Gaming,"cypher,harbor,sova,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,All Gamers,"harbor,kayo,killjoy,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Bilibili Gaming,"harbor,jett,killjoy,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,Dragon Ranger Gaming,"harbor,jett,killjoy,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,TYLOO,"gekko,jett,killjoy,reyna,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Bilibili Gaming,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,FunPlus Phoenix,"astra,gekko,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Nova Esports,"fade,killjoy,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,TYLOO,"fade,killjoy,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Titan Esports Club,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Trace Esports,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Lotus,Wolves Esports,"cypher,fade,omen,raze,viper",0.0,2
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,EDward Gaming,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,JDG Esports,"jett,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Titan Esports Club,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Split,Wolves Esports,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,All Gamers,"breach,cypher,omen,raze,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Sunset,Dragon Ranger Gaming,"breach,cypher,jett,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,JDG Esports,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Ascent,Nova Esports,"breach,jett,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Bilibili Gaming,"brimstone,cypher,gekko,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,EDward Gaming,"brimstone,gekko,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,JDG Esports,"brimstone,gekko,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Nova Esports,"breach,gekko,omen,raze,skye",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,TYLOO,"brimstone,cypher,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Bind,Trace Esports,"brimstone,gekko,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,All Gamers,"cypher,harbor,sova,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Bilibili Gaming,"cypher,omen,sova,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Dragon Ranger Gaming,"cypher,jett,kayo,sova,viper",0.0,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,FunPlus Phoenix,"astra,jett,sova,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Titan Esports Club,"cypher,jett,sova,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Trace Esports,"cypher,jett,sova,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,Wolves Esports,"cypher,jett,sova,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,All Gamers,"harbor,kayo,killjoy,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,Dragon Ranger Gaming,"harbor,jett,killjoy,sova,viper",1.0,2
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,FunPlus Phoenix,"gekko,jett,omen,reyna,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,Titan Esports Club,"jett,kayo,killjoy,sova,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Icebox,Wolves Esports,"gekko,jett,kayo,killjoy,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Split,Bilibili Gaming,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Split,Dragon Ranger Gaming,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Split,Titan Esports Club,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Split,Trace Esports,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Dragon Ranger Gaming,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,EDward Gaming,"cypher,gekko,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,FunPlus Phoenix,"gekko,kayo,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,JDG Esports,"cypher,omen,raze,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,Nova Esports,"breach,fade,killjoy,neon,omen",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Sunset,TYLOO,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,EDward Gaming,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,FunPlus Phoenix,"fade,killjoy,omen,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,Nova Esports,"breach,jett,killjoy,omen,sova",0.0,2
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,TYLOO,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,Titan Esports Club,"gekko,jett,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,Trace Esports,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Ascent,Wolves Esports,"cypher,jett,kayo,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Bind,All Gamers,"brimstone,gekko,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Bind,Bilibili Gaming,"brimstone,gekko,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Bind,Dragon Ranger Gaming,"brimstone,cypher,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Bind,JDG Esports,"brimstone,gekko,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Breeze,Dragon Ranger Gaming,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Breeze,JDG Esports,"harbor,jett,sova,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Icebox,Dragon Ranger Gaming,"harbor,jett,killjoy,sova,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Icebox,JDG Esports,"gekko,harbor,jett,killjoy,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Icebox,Nova Esports,"chamber,gekko,kayo,omen,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Icebox,TYLOO,"jett,kayo,killjoy,sova,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,All Gamers,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,Bilibili Gaming,"fade,killjoy,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,FunPlus Phoenix,"astra,gekko,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,Nova Esports,"cypher,fade,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,Trace Esports,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Lotus,Wolves Esports,"cypher,jett,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Sunset,EDward Gaming,"cypher,gekko,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Sunset,Titan Esports Club,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Ascent,EDward Gaming,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Ascent,FunPlus Phoenix,"fade,killjoy,omen,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Ascent,TYLOO,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Ascent,Wolves Esports,"cypher,jett,kayo,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,All Gamers,"brimstone,gekko,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,Bilibili Gaming,"brimstone,cypher,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,EDward Gaming,"brimstone,gekko,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,FunPlus Phoenix,"brimstone,gekko,kayo,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,Nova Esports,"breach,gekko,omen,raze,skye",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,Titan Esports Club,"brimstone,gekko,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Breeze,Dragon Ranger Gaming,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Breeze,EDward Gaming,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Breeze,FunPlus Phoenix,"astra,jett,sova,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Breeze,Trace Esports,"cypher,jett,sova,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Icebox,Bilibili Gaming,"jett,killjoy,reyna,sova,viper",0.5,2
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Icebox,JDG Esports,"gekko,harbor,jett,killjoy,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Icebox,Titan Esports Club,"jett,killjoy,reyna,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Lotus,All Gamers,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Lotus,Bilibili Gaming,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Lotus,JDG Esports,"fade,killjoy,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Lotus,Nova Esports,"fade,killjoy,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Split,All Gamers,"astra,breach,cypher,raze,skye",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Split,Nova Esports,"jett,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Split,TYLOO,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Split,Wolves Esports,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Sunset,Bilibili Gaming,"breach,cypher,fade,omen,raze",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Sunset,Dragon Ranger Gaming,"breach,cypher,omen,raze,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Sunset,TYLOO,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Sunset,Titan Esports Club,"breach,cypher,omen,raze,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Sunset,Trace Esports,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Sunset,Wolves Esports,"gekko,kayo,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Ascent,JDG Esports,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Ascent,Wolves Esports,"cypher,jett,kayo,omen,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Bind,Dragon Ranger Gaming,"brimstone,cypher,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Bind,TYLOO,"brimstone,cypher,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Breeze,Dragon Ranger Gaming,"cypher,jett,kayo,sova,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Breeze,EDward Gaming,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Breeze,TYLOO,"astra,jett,sova,viper,yoru",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Breeze,Trace Esports,"cypher,jett,sova,viper,yoru",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Icebox,All Gamers,"harbor,kayo,killjoy,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Icebox,Bilibili Gaming,"harbor,jett,killjoy,sova,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Icebox,EDward Gaming,"gekko,jett,kayo,killjoy,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Icebox,FunPlus Phoenix,"clove,gekko,harbor,kayo,omen",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Lotus,Bilibili Gaming,"fade,killjoy,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Lotus,FunPlus Phoenix,"astra,gekko,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Lotus,JDG Esports,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Lotus,Nova Esports,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Lotus,Titan Esports Club,"fade,killjoy,omen,raze,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Lotus,Wolves Esports,"cypher,jett,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Split,Nova Esports,"astra,raze,sage,skye,viper",1.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Split,Titan Esports Club,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Sunset,All Gamers,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Sunset,EDward Gaming,"cypher,gekko,omen,raze,viper",1.0,2
Champions Tour 2024: China Stage 1,Regular Season,Week 5,Sunset,Trace Esports,"breach,cypher,omen,raze,sova",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Abyss,EDward Gaming,"gekko,jett,omen,sova,yoru",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Abyss,FunPlus Phoenix,"cypher,fade,omen,viper,yoru",1.0,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Abyss,Trace Esports,"cypher,omen,raze,skye,viper",0.0,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,All Gamers,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,Bilibili Gaming,"jett,kayo,killjoy,omen,sova",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,Dragon Ranger Gaming,"cypher,jett,kayo,omen,sova",0.3333,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,FunPlus Phoenix,"astra,jett,kayo,omen,sova",0.4,5
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,Nova Esports,"breach,jett,kayo,omen,sova",0.0,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,TYLOO,"jett,kayo,killjoy,omen,sova",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,Titan Esports Club,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,Trace Esports,"jett,kayo,killjoy,omen,sova",1.0,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Ascent,Wolves Esports,"jett,kayo,killjoy,omen,sova",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,Bilibili Gaming,"brimstone,cypher,raze,skye,viper",1.0,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,EDward Gaming,"brimstone,fade,jett,raze,skye",0.5,4
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,FunPlus Phoenix,"brimstone,cypher,gekko,jett,sova",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,JDG Esports,"astra,breach,cypher,deadlock,raze",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,Nova Esports,"breach,gekko,omen,raze,skye",0.0,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,TYLOO,"brimstone,gekko,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,Titan Esports Club,"brimstone,chamber,raze,skye,viper",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,Trace Esports,"brimstone,cypher,raze,skye,viper",0.0,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Bind,Wolves Esports,"brimstone,fade,gekko,raze,viper",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,All Gamers,"breach,cypher,jett,omen,sova",0.3333,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,Bilibili Gaming,"breach,cypher,jett,omen,sova",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,Dragon Ranger Gaming,"breach,cypher,jett,omen,sova",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,EDward Gaming,"breach,cypher,neon,omen,sova",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,FunPlus Phoenix,"breach,cypher,jett,kayo,omen",0.4286,7
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,JDG Esports,"cypher,fade,gekko,jett,omen",0.75,4
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,TYLOO,"breach,jett,omen,skye,sova",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,Titan Esports Club,"breach,jett,killjoy,omen,sova",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Haven,Trace Esports,"breach,jett,killjoy,omen,sova",0.5,6
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,All Gamers,"gekko,jett,kayo,killjoy,viper",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,Bilibili Gaming,"jett,kayo,killjoy,sage,viper",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,Dragon Ranger Gaming,"jett,kayo,killjoy,sova,viper",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,EDward Gaming,"jett,kayo,killjoy,sova,viper",0.3333,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,FunPlus Phoenix,"clove,jett,kayo,killjoy,viper",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,JDG Esports,"deadlock,jett,kayo,killjoy,viper",0.75,4
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,Nova Esports,"gekko,jett,kayo,killjoy,viper",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,TYLOO,"gekko,jett,kayo,killjoy,viper",0.25,4
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,Titan Esports Club,"jett,kayo,killjoy,sova,viper",0.0,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Icebox,Wolves Esports,"gekko,jett,kayo,killjoy,viper",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,All Gamers,"cypher,deadlock,fade,omen,raze",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,Bilibili Gaming,"breach,cypher,fade,omen,raze",0.3333,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,Dragon Ranger Gaming,"fade,killjoy,neon,omen,viper",0.3333,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,EDward Gaming,"breach,chamber,neon,omen,sova",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,FunPlus Phoenix,"astra,gekko,omen,raze,viper",0.25,4
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,JDG Esports,"fade,killjoy,omen,raze,viper",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,Nova Esports,"fade,killjoy,omen,raze,viper",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,Titan Esports Club,"breach,chamber,fade,neon,omen",0.3333,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Lotus,Trace Esports,"fade,killjoy,omen,raze,viper",1.0,4
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Split,Bilibili Gaming,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Split,EDward Gaming,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Split,Nova Esports,"astra,raze,sage,skye,viper",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Split,TYLOO,"cypher,omen,raze,skye,viper",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Split,Trace Esports,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Split,Wolves Esports,"breach,cypher,omen,raze,yoru",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,All Gamers,"breach,cypher,gekko,omen,raze",0.4,5
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,Bilibili Gaming,"chamber,gekko,omen,raze,sage",0.6667,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,Dragon Ranger Gaming,"cypher,kayo,neon,omen,sova",0.0,1
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,EDward Gaming,"cypher,kayo,neon,omen,sova",1.0,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,FunPlus Phoenix,"astra,jett,omen,sova,yoru",0.4,5
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,JDG Esports,"cypher,omen,raze,sova,viper",0.0,3
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,Nova Esports,"chamber,kayo,omen,phoenix,raze",1.0,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,TYLOO,"gekko,kayo,neon,omen,sova",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,Titan Esports Club,"breach,cypher,fade,neon,omen",0.5,2
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,Trace Esports,"breach,cypher,omen,raze,sova",0.6667,6
Champions Tour 2024: China Stage 2,All Stages,All Match Types,Sunset,Wolves Esports,"breach,gekko,omen,raze,sage",0.0,2
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,Abyss,EDward Gaming,"gekko,jett,omen,sova,yoru",0.0,1
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,Abyss,FunPlus Phoenix,"cypher,fade,omen,viper,yoru",1.0,1
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,Bind,EDward Gaming,"brimstone,fade,gekko,raze,viper",1.0,1
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,Bind,FunPlus Phoenix,"brimstone,cypher,gekko,jett,sova",0.0,1
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,Haven,EDward Gaming,"breach,cypher,neon,omen,sova",1.0,1
Champions Tour 2024: China Stage 2,Playoffs,Grand Final,Haven,FunPlus Phoenix,"breach,cypher,jett,kayo,omen",0.0,1
